ErrorCode,ErrorText
2434933,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Disconnect"
2435833,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Host not found"
2435834,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Non authoritative - host not found"
2435835,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Non recoverable error"
2435836,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Valid name, no data record of requested type"
2436833,"CLI : invalid param(s) supplied ISO : Null passed as pointer TCP : Invalid address"
2490368,"CLI : invalid param(s) supplied ISO : A short packet received"
2500372,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Interrupted system call"
2500377,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Bad file number"
2500381,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Permission denied"
2500382,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Bad address"
2500390,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Invalid argument"
2500392,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many open files"
2500403,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Operation would block"
2500404,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Operation now in progress"
2500405,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Operation already in progress"
2500406,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Socket operation on non socket"
2500407,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Destination address required"
2500408,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Message too long"
2500409,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Protocol wrong type for Socket"
2500410,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Protocol not available"
2500411,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Protocol not supported"
2500412,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Socket not supported"
2500413,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Operation not supported on Socket"
2500414,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Protocol family not supported"
2500415,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Address family not supported"
2500416,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Address already in use"
2500417,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Can't assign requested address"
2500418,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Network is down"
2500419,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Network is unreachable"
2500420,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Network dropped connection on reset"
2500421,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Software caused connection abort"
2500422,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Connection reset by peer"
2500423,"CLI : invalid param(s) supplied ISO : A short packet received TCP : No Buffer space available"
2500424,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Socket is already connected"
2500425,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Socket is not connected"
2500426,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Can't send after Socket shutdown"
2500427,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many references:can't splice"
2500428,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Connection timed out"
2500429,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Connection refused"
2500430,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many levels of symbolic links"
2500431,"CLI : invalid param(s) supplied ISO : A short packet received TCP : File name is too long"
2500432,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Host is down"
2500433,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Unreachable peer"
2500434,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Directory is not empty"
2500435,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many processes"
2500436,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many users"
2500437,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Disk quota exceeded"
2500438,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Stale NFS file handle"
2500439,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Too many levels of remote in path"
2500459,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Network subsystem is unusable"
2500460,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Winsock DLL cannot support this application"
2500461,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Winsock not initialized"
2500469,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Disconnect"
2501369,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Host not found"
2501370,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Non authoritative - host not found"
2501371,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Non recoverable error"
2501372,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Valid name, no data record of requested type"
2502369,"CLI : invalid param(s) supplied ISO : A short packet received TCP : Invalid address"
2555904,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag"
2565908,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Interrupted system call"
2565913,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Bad file number"
2565917,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Permission denied"
2565918,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Bad address"
2565926,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Invalid argument"
2565928,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many open files"
2565939,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Operation would block"
2565940,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Operation now in progress"
2565941,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Operation already in progress"
2565942,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Socket operation on non socket"
2565943,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Destination address required"
2565944,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Message too long"
2565945,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Protocol wrong type for Socket"
2565946,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Protocol not available"
2565947,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Protocol not supported"
2565948,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Socket not supported"
2565949,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Operation not supported on Socket"
2565950,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Protocol family not supported"
2565951,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Address family not supported"
2565952,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Address already in use"
2565953,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Can't assign requested address"
2565954,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Network is down"
2565955,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Network is unreachable"
2565956,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Network dropped connection on reset"
2565957,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Software caused connection abort"
2565958,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Connection reset by peer"
2565959,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : No Buffer space available"
2565960,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Socket is already connected"
2565961,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Socket is not connected"
2565962,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Can't send after Socket shutdown"
2565963,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many references:can't splice"
2565964,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Connection timed out"
2565965,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Connection refused"
2565966,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many levels of symbolic links"
2565967,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : File name is too long"
2565968,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Host is down"
2565969,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Unreachable peer"
2565970,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Directory is not empty"
2565971,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many processes"
2565972,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many users"
2565973,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Disk quota exceeded"
2565974,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Stale NFS file handle"
2565975,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Too many levels of remote in path"
2565995,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Network subsystem is unusable"
2565996,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Winsock DLL cannot support this application"
2565997,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Winsock not initialized"
2566005,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Disconnect"
2566905,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Host not found"
2566906,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Non authoritative - host not found"
2566907,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Non recoverable error"
2566908,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Valid name, no data record of requested type"
2567905,"CLI : invalid param(s) supplied ISO : Too many packets without EoT flag TCP : Invalid address"
2621440,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size"
2631444,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Interrupted system call"
2631449,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Bad file number"
2631453,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Permission denied"
2631454,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Bad address"
2631462,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Invalid argument"
2631464,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many open files"
2631475,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Operation would block"
2631476,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Operation now in progress"
2631477,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Operation already in progress"
2631478,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Socket operation on non socket"
2631479,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Destination address required"
2631480,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Message too long"
2631481,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Protocol wrong type for Socket"
2631482,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Protocol not available"
2631483,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Protocol not supported"
2631484,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Socket not supported"
2631485,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Operation not supported on Socket"
2631486,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Protocol family not supported"
2631487,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Address family not supported"
2631488,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Address already in use"
2631489,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Can't assign requested address"
2631490,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Network is down"
2631491,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Network is unreachable"
2631492,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Network dropped connection on reset"
2631493,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Software caused connection abort"
2631494,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Connection reset by peer"
2631495,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : No Buffer space available"
2631496,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Socket is already connected"
2631497,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Socket is not connected"
2631498,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Can't send after Socket shutdown"
2631499,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many references:can't splice"
2631500,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Connection timed out"
2631501,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Connection refused"
2631502,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many levels of symbolic links"
2631503,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : File name is too long"
2631504,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Host is down"
2631505,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Unreachable peer"
2631506,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Directory is not empty"
2631507,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many processes"
2631508,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many users"
2631509,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Disk quota exceeded"
2631510,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Stale NFS file handle"
2631511,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Too many levels of remote in path"
2631531,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Network subsystem is unusable"
2631532,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Winsock DLL cannot support this application"
2631533,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Winsock not initialized"
2631541,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Disconnect"
2632441,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Host not found"
2632442,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Non authoritative - host not found"
2632443,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Non recoverable error"
2632444,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Valid name, no data record of requested type"
2633441,"CLI : invalid param(s) supplied ISO : The sum of fragments data exceded maximum packet size TCP : Invalid address"
2686976,"CLI : invalid param(s) supplied ISO : An error occurred during send"
2696980,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Interrupted system call"
2696985,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Bad file number"
2696989,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Permission denied"
2696990,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Bad address"
2696998,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Invalid argument"
2697000,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many open files"
2697011,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Operation would block"
2697012,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Operation now in progress"
2697013,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Operation already in progress"
2697014,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Socket operation on non socket"
2697015,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Destination address required"
2697016,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Message too long"
2697017,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Protocol wrong type for Socket"
2697018,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Protocol not available"
2697019,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Protocol not supported"
2697020,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Socket not supported"
2697021,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Operation not supported on Socket"
2697022,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Protocol family not supported"
2697023,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Address family not supported"
2697024,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Address already in use"
2697025,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Can't assign requested address"
2697026,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Network is down"
2697027,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Network is unreachable"
2697028,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Network dropped connection on reset"
2697029,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Software caused connection abort"
2697030,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Connection reset by peer"
2697031,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : No Buffer space available"
2697032,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Socket is already connected"
2697033,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Socket is not connected"
2697034,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Can't send after Socket shutdown"
2697035,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many references:can't splice"
2697036,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Connection timed out"
2697037,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Connection refused"
2697038,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many levels of symbolic links"
2697039,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : File name is too long"
2697040,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Host is down"
2697041,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Unreachable peer"
2697042,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Directory is not empty"
2697043,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many processes"
2697044,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many users"
2697045,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Disk quota exceeded"
2697046,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Stale NFS file handle"
2697047,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Too many levels of remote in path"
2697067,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Network subsystem is unusable"
2697068,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Winsock DLL cannot support this application"
2697069,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Winsock not initialized"
2697077,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Disconnect"
2697977,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Host not found"
2697978,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Non authoritative - host not found"
2697979,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Non recoverable error"
2697980,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Valid name, no data record of requested type"
2698977,"CLI : invalid param(s) supplied ISO : An error occurred during send TCP : Invalid address"
2752512,"CLI : invalid param(s) supplied ISO : An error occurred during recv"
2762516,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Interrupted system call"
2762521,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Bad file number"
2762525,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Permission denied"
2762526,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Bad address"
2762534,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Invalid argument"
2762536,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many open files"
2762547,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Operation would block"
2762548,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Operation now in progress"
2762549,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Operation already in progress"
2762550,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Socket operation on non socket"
2762551,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Destination address required"
2762552,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Message too long"
2762553,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Protocol wrong type for Socket"
2762554,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Protocol not available"
2762555,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Protocol not supported"
2762556,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Socket not supported"
2762557,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Operation not supported on Socket"
2762558,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Protocol family not supported"
2762559,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Address family not supported"
2762560,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Address already in use"
2762561,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Can't assign requested address"
2762562,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Network is down"
2762563,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Network is unreachable"
2762564,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Network dropped connection on reset"
2762565,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Software caused connection abort"
2762566,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Connection reset by peer"
2762567,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : No Buffer space available"
2762568,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Socket is already connected"
2762569,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Socket is not connected"
2762570,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Can't send after Socket shutdown"
2762571,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many references:can't splice"
2762572,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Connection timed out"
2762573,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Connection refused"
2762574,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many levels of symbolic links"
2762575,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : File name is too long"
2762576,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Host is down"
2762577,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Unreachable peer"
2762578,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Directory is not empty"
2762579,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many processes"
2762580,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many users"
2762581,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Disk quota exceeded"
2762582,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Stale NFS file handle"
2762583,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Too many levels of remote in path"
2762603,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Network subsystem is unusable"
2762604,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Winsock DLL cannot support this application"
2762605,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Winsock not initialized"
2762613,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Disconnect"
2763513,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Host not found"
2763514,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Non authoritative - host not found"
2763515,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Non recoverable error"
2763516,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Valid name, no data record of requested type"
2764513,"CLI : invalid param(s) supplied ISO : An error occurred during recv TCP : Invalid address"
2818048,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs)"
2828052,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Interrupted system call"
2828057,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Bad file number"
2828061,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Permission denied"
2828062,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Bad address"
2828070,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Invalid argument"
2828072,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Too many open files"
2828083,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Operation would block"
2828084,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Operation now in progress"
2828085,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Operation already in progress"
2828086,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Socket operation on non socket"
2828087,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Destination address required"
2828088,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Message too long"
2828089,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Protocol wrong type for Socket"
2828090,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Protocol not available"
2828091,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Protocol not supported"
2828092,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Socket not supported"
2828093,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Operation not supported on Socket"
2828094,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Protocol family not supported"
2828095,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Address family not supported"
2828096,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Address already in use"
2828097,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Can't assign requested address"
2828098,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Network is down"
2828099,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Network is unreachable"
2828100,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Network dropped connection on reset"
2828101,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Software caused connection abort"
2828102,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Connection reset by peer"
2828103,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : No Buffer space available"
2828104,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Socket is already connected"
2828105,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Socket is not connected"
2828106,"CLI : invalid param(s) supplied ISO : Invalid connection params (wrong TSAPs) TCP : Can't send after Socket shutdown"
