ErrorCode,ErrorText
141142," ISO : Disconnect error TCP : Stale NFS file handle"
141143," ISO : Disconnect error TCP : Too many levels of remote in path"
141163," ISO : Disconnect error TCP : Network subsystem is unusable"
141164," ISO : Disconnect error TCP : Winsock DLL cannot support this application"
141165," ISO : Disconnect error TCP : Winsock not initialized"
141173," ISO : Disconnect error TCP : Disconnect"
142073," ISO : Disconnect error TCP : Host not found"
142074," ISO : Disconnect error TCP : Non authoritative - host not found"
142075," ISO : Disconnect error TCP : Non recoverable error"
142076," ISO : Disconnect error TCP : Valid name, no data record of requested type"
143073," ISO : Disconnect error TCP : Invalid address"
196608," ISO : Bad PDU format"
206612," ISO : Bad PDU format TCP : Interrupted system call"
206617," ISO : Bad PDU format TCP : Bad file number"
206621," ISO : Bad PDU format TCP : Permission denied"
206622," ISO : Bad PDU format TCP : Bad address"
206630," ISO : Bad PDU format TCP : Invalid argument"
206632," ISO : Bad PDU format TCP : Too many open files"
206643," ISO : Bad PDU format TCP : Operation would block"
206644," ISO : Bad PDU format TCP : Operation now in progress"
206645," ISO : Bad PDU format TCP : Operation already in progress"
206646," ISO : Bad PDU format TCP : Socket operation on non socket"
206647," ISO : Bad PDU format TCP : Destination address required"
206648," ISO : Bad PDU format TCP : Message too long"
206649," ISO : Bad PDU format TCP : Protocol wrong type for Socket"
206650," ISO : Bad PDU format TCP : Protocol not available"
206651," ISO : Bad PDU format TCP : Protocol not supported"
206652," ISO : Bad PDU format TCP : Socket not supported"
206653," ISO : Bad PDU format TCP : Operation not supported on Socket"
206654," ISO : Bad PDU format TCP : Protocol family not supported"
206655," ISO : Bad PDU format TCP : Address family not supported"
206656," ISO : Bad PDU format TCP : Address already in use"
206657," ISO : Bad PDU format TCP : Can't assign requested address"
206658," ISO : Bad PDU format TCP : Network is down"
206659," ISO : Bad PDU format TCP : Network is unreachable"
206660," ISO : Bad PDU format TCP : Network dropped connection on reset"
206661," ISO : Bad PDU format TCP : Software caused connection abort"
206662," ISO : Bad PDU format TCP : Connection reset by peer"
206663," ISO : Bad PDU format TCP : No Buffer space available"
206664," ISO : Bad PDU format TCP : Socket is already connected"
206665," ISO : Bad PDU format TCP : Socket is not connected"
206666," ISO : Bad PDU format TCP : Can't send after Socket shutdown"
206667," ISO : Bad PDU format TCP : Too many references:can't splice"
206668," ISO : Bad PDU format TCP : Connection timed out"
206669," ISO : Bad PDU format TCP : Connection refused"
206670," ISO : Bad PDU format TCP : Too many levels of symbolic links"
206671," ISO : Bad PDU format TCP : File name is too long"
206672," ISO : Bad PDU format TCP : Host is down"
206673," ISO : Bad PDU format TCP : Unreachable peer"
206674," ISO : Bad PDU format TCP : Directory is not empty"
206675," ISO : Bad PDU format TCP : Too many processes"
206676," ISO : Bad PDU format TCP : Too many users"
206677," ISO : Bad PDU format TCP : Disk quota exceeded"
206678," ISO : Bad PDU format TCP : Stale NFS file handle"
206679," ISO : Bad PDU format TCP : Too many levels of remote in path"
206699," ISO : Bad PDU format TCP : Network subsystem is unusable"
206700," ISO : Bad PDU format TCP : Winsock DLL cannot support this application"
206701," ISO : Bad PDU format TCP : Winsock not initialized"
206709," ISO : Bad PDU format TCP : Disconnect"
207609," ISO : Bad PDU format TCP : Host not found"
207610," ISO : Bad PDU format TCP : Non authoritative - host not found"
207611," ISO : Bad PDU format TCP : Non recoverable error"
207612," ISO : Bad PDU format TCP : Valid name, no data record of requested type"
208609," ISO : Bad PDU format TCP : Invalid address"
262144," ISO : Datasize passed to send/recv buffer is invalid"
272148," ISO : Datasize passed to send/recv buffer is invalid TCP : Interrupted system call"
272153," ISO : Datasize passed to send/recv buffer is invalid TCP : Bad file number"
272157," ISO : Datasize passed to send/recv buffer is invalid TCP : Permission denied"
272158," ISO : Datasize passed to send/recv buffer is invalid TCP : Bad address"
272166," ISO : Datasize passed to send/recv buffer is invalid TCP : Invalid argument"
272168," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many open files"
272179," ISO : Datasize passed to send/recv buffer is invalid TCP : Operation would block"
272180," ISO : Datasize passed to send/recv buffer is invalid TCP : Operation now in progress"
272181," ISO : Datasize passed to send/recv buffer is invalid TCP : Operation already in progress"
272182," ISO : Datasize passed to send/recv buffer is invalid TCP : Socket operation on non socket"
272183," ISO : Datasize passed to send/recv buffer is invalid TCP : Destination address required"
272184," ISO : Datasize passed to send/recv buffer is invalid TCP : Message too long"
272185," ISO : Datasize passed to send/recv buffer is invalid TCP : Protocol wrong type for Socket"
272186," ISO : Datasize passed to send/recv buffer is invalid TCP : Protocol not available"
272187," ISO : Datasize passed to send/recv buffer is invalid TCP : Protocol not supported"
272188," ISO : Datasize passed to send/recv buffer is invalid TCP : Socket not supported"
272189," ISO : Datasize passed to send/recv buffer is invalid TCP : Operation not supported on Socket"
272190," ISO : Datasize passed to send/recv buffer is invalid TCP : Protocol family not supported"
272191," ISO : Datasize passed to send/recv buffer is invalid TCP : Address family not supported"
272192," ISO : Datasize passed to send/recv buffer is invalid TCP : Address already in use"
272193," ISO : Datasize passed to send/recv buffer is invalid TCP : Can't assign requested address"
272194," ISO : Datasize passed to send/recv buffer is invalid TCP : Network is down"
272195," ISO : Datasize passed to send/recv buffer is invalid TCP : Network is unreachable"
272196," ISO : Datasize passed to send/recv buffer is invalid TCP : Network dropped connection on reset"
272197," ISO : Datasize passed to send/recv buffer is invalid TCP : Software caused connection abort"
272198," ISO : Datasize passed to send/recv buffer is invalid TCP : Connection reset by peer"
272199," ISO : Datasize passed to send/recv buffer is invalid TCP : No Buffer space available"
272200," ISO : Datasize passed to send/recv buffer is invalid TCP : Socket is already connected"
272201," ISO : Datasize passed to send/recv buffer is invalid TCP : Socket is not connected"
272202," ISO : Datasize passed to send/recv buffer is invalid TCP : Can't send after Socket shutdown"
272203," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many references:can't splice"
272204," ISO : Datasize passed to send/recv buffer is invalid TCP : Connection timed out"
272205," ISO : Datasize passed to send/recv buffer is invalid TCP : Connection refused"
272206," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many levels of symbolic links"
272207," ISO : Datasize passed to send/recv buffer is invalid TCP : File name is too long"
272208," ISO : Datasize passed to send/recv buffer is invalid TCP : Host is down"
272209," ISO : Datasize passed to send/recv buffer is invalid TCP : Unreachable peer"
272210," ISO : Datasize passed to send/recv buffer is invalid TCP : Directory is not empty"
272211," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many processes"
272212," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many users"
272213," ISO : Datasize passed to send/recv buffer is invalid TCP : Disk quota exceeded"
272214," ISO : Datasize passed to send/recv buffer is invalid TCP : Stale NFS file handle"
272215," ISO : Datasize passed to send/recv buffer is invalid TCP : Too many levels of remote in path"
272235," ISO : Datasize passed to send/recv buffer is invalid TCP : Network subsystem is unusable"
272236," ISO : Datasize passed to send/recv buffer is invalid TCP : Winsock DLL cannot support this application"
272237," ISO : Datasize passed to send/recv buffer is invalid TCP : Winsock not initialized"
272245," ISO : Datasize passed to send/recv buffer is invalid TCP : Disconnect"
273145," ISO : Datasize passed to send/recv buffer is invalid TCP : Host not found"
273146," ISO : Datasize passed to send/recv buffer is invalid TCP : Non authoritative - host not found"
273147," ISO : Datasize passed to send/recv buffer is invalid TCP : Non recoverable error"
273148," ISO : Datasize passed to send/recv buffer is invalid TCP : Valid name, no data record of requested type"
274145," ISO : Datasize passed to send/recv buffer is invalid TCP : Invalid address"
327680," ISO : Null passed as pointer"
337684," ISO : Null passed as pointer TCP : Interrupted system call"
337689," ISO : Null passed as pointer TCP : Bad file number"
337693," ISO : Null passed as pointer TCP : Permission denied"
337694," ISO : Null passed as pointer TCP : Bad address"
337702," ISO : Null passed as pointer TCP : Invalid argument"
337704," ISO : Null passed as pointer TCP : Too many open files"
337715," ISO : Null passed as pointer TCP : Operation would block"
337716," ISO : Null passed as pointer TCP : Operation now in progress"
337717," ISO : Null passed as pointer TCP : Operation already in progress"
337718," ISO : Null passed as pointer TCP : Socket operation on non socket"
337719," ISO : Null passed as pointer TCP : Destination address required"
337720," ISO : Null passed as pointer TCP : Message too long"
337721," ISO : Null passed as pointer TCP : Protocol wrong type for Socket"
337722," ISO : Null passed as pointer TCP : Protocol not available"
337723," ISO : Null passed as pointer TCP : Protocol not supported"
337724," ISO : Null passed as pointer TCP : Socket not supported"
337725," ISO : Null passed as pointer TCP : Operation not supported on Socket"
337726," ISO : Null passed as pointer TCP : Protocol family not supported"
337727," ISO : Null passed as pointer TCP : Address family not supported"
337728," ISO : Null passed as pointer TCP : Address already in use"
337729," ISO : Null passed as pointer TCP : Can't assign requested address"
337730," ISO : Null passed as pointer TCP : Network is down"
